claim_type,amount_requested,doc_confidence_score,consistency_score,days_since_incident,has_police_report,has_medical_cert,prior_claims_count,label
LIFE_DEATH,658882.59,0.699,0.66,40,1,1,2,ESCALATE
AUTO,85659.3,0.2,0.573,52,0,0,6,REJECT
AUTO,448788.16,0.232,0.295,42,0,0,4,REJECT
PROPERTY,34086.34,0.964,0.885,1,0,0,0,APPROVE
PROPERTY,341721.8,0.744,0.603,83,0,0,1,ESCALATE
AUTO,48055.22,0.927,0.923,1,1,0,1,APPROVE
AUTO,97075.36,0.6,0.687,120,0,0,2,ESCALATE
LIFE_DEATH,152005.02,0.75,0.891,31,1,1,0,APPROVE
PROPERTY,68508.79,0.901,0.909,4,1,0,0,APPROVE
AUTO,48810.18,0.856,0.8,5,1,0,0,APPROVE
LIFE_DEATH,55617.33,0.75,0.988,1,1,1,1,APPROVE
PROPERTY,313079.16,0.713,0.734,18,1,0,2,ESCALATE
AUTO,35434.24,0.99,0.8,1,1,0,0,APPROVE
PROPERTY,814695.07,0.598,0.414,124,0,0,5,REJECT
PROPERTY,31872.54,0.916,0.985,3,0,0,0,APPROVE
PROPERTY,56255.29,0.897,0.808,3,1,0,0,APPROVE
AUTO,27952.8,0.925,0.989,29,1,0,0,APPROVE
LIFE_DEATH,739178.13,0.751,0.734,12,0,1,2,ESCALATE
PROPERTY,411627.76,0.654,0.58,53,1,0,2,ESCALATE
AUTO,25275.99,0.968,0.958,2,0,0,0,APPROVE
AUTO,10054.0,0.75,0.947,7,1,0,1,APPROVE
PROPERTY,412386.96,0.804,0.796,23,0,0,2,ESCALATE
AUTO,32012.43,0.771,0.864,8,1,0,1,APPROVE
LIFE_DEATH,248894.59,0.75,0.989,11,0,1,0,APPROVE
AUTO,89891.34,0.76,0.657,68,1,0,2,ESCALATE
AUTO,29307.54,0.75,0.901,1,0,0,1,APPROVE
AUTO,18462.14,0.893,0.965,17,1,0,0,APPROVE
PROPERTY,855887.34,0.395,0.327,142,0,0,3,REJECT
LIFE_DEATH,223063.85,0.894,0.947,11,0,1,1,APPROVE
PROPERTY,182705.86,0.52,0.416,66,0,0,4,REJECT
PROPERTY,37372.63,0.866,0.93,1,0,0,0,APPROVE
AUTO,121500.59,0.747,0.769,43,0,0,2,ESCALATE
AUTO,82068.72,0.374,0.15,33,0,0,5,REJECT
PROPERTY,806306.25,0.239,0.228,52,0,0,2,REJECT
LIFE_DEATH,173960.01,0.75,0.903,19,1,1,0,APPROVE
AUTO,108177.16,0.2,0.15,109,0,0,6,REJECT
AUTO,16150.72,0.886,0.966,5,1,0,0,APPROVE
LIFE_DEATH,574338.26,0.335,0.327,56,0,1,6,REJECT
AUTO,19109.17,0.75,0.8,19,0,0,0,APPROVE
AUTO,103304.1,0.2,0.178,57,0,0,2,REJECT
PROPERTY,72155.8,0.785,0.936,6,1,0,1,APPROVE
AUTO,126850.57,0.783,0.753,17,0,0,1,ESCALATE
PROPERTY,49321.28,0.842,0.974,20,0,0,2,APPROVE
AUTO,226239.52,0.2,0.19,110,0,0,6,REJECT
AUTO,52930.44,0.894,0.824,13,1,0,0,APPROVE
AUTO,7835.14,0.888,0.8,5,1,0,0,APPROVE
PROPERTY,88108.74,0.75,0.885,10,1,0,0,APPROVE
LIFE_DEATH,1422993.6,0.2,0.619,106,0,0,5,REJECT
AUTO,16842.28,0.818,0.912,1,1,0,0,APPROVE
AUTO,85046.32,0.254,0.344,135,0,0,6,REJECT
PROPERTY,27688.3,0.808,0.988,5,0,0,0,APPROVE
LIFE_DEATH,116383.9,0.948,0.96,10,0,1,0,APPROVE
AUTO,59415.48,0.759,0.685,25,1,0,3,ESCALATE
AUTO,114668.81,0.733,0.711,18,1,0,1,ESCALATE
PROPERTY,40945.65,0.846,0.995,13,1,0,0,APPROVE
AUTO,152339.24,0.528,0.49,36,0,0,6,REJECT
AUTO,14369.95,0.752,0.919,4,1,0,0,APPROVE
AUTO,411416.07,0.2,0.154,64,0,0,4,REJECT
PROPERTY,581222.58,0.2,0.375,255,0,0,3,REJECT
PROPERTY,171128.62,0.6,0.738,14,0,0,1,ESCALATE
AUTO,41479.9,0.951,0.8,22,1,0,0,APPROVE
PROPERTY,836419.13,0.587,0.15,238,0,0,3,REJECT
PROPERTY,1154436.83,0.2,0.254,39,0,0,6,REJECT
LIFE_DEATH,278260.37,0.756,0.969,5,0,1,0,APPROVE
AUTO,78813.77,0.539,0.279,177,0,0,5,REJECT
LIFE_DEATH,385958.69,0.719,0.633,16,0,1,2,ESCALATE
AUTO,36238.61,0.869,0.844,11,1,0,2,APPROVE
AUTO,44839.97,0.784,0.945,4,1,0,0,APPROVE
AUTO,19139.35,0.831,0.8,2,0,0,0,APPROVE
PROPERTY,718670.32,0.54,0.593,60,0,0,2,REJECT
PROPERTY,198235.83,0.805,0.775,12,0,0,1,ESCALATE
PROPERTY,33190.02,0.827,0.978,8,1,0,0,APPROVE
LIFE_DEATH,107772.23,0.794,0.988,4,0,1,1,APPROVE
PROPERTY,30450.26,0.75,0.995,14,1,0,0,APPROVE
PROPERTY,58774.43,0.882,0.841,22,1,0,1,APPROVE
PROPERTY,1038763.27,0.562,0.366,64,0,0,3,REJECT
PROPERTY,478439.88,0.82,0.736,31,1,0,3,ESCALATE
AUTO,7012.76,0.844,0.951,2,0,0,0,APPROVE
PROPERTY,316280.62,0.8,0.744,19,0,0,2,ESCALATE
AUTO,301003.57,0.2,0.15,53,0,0,4,REJECT
PROPERTY,26991.77,0.864,0.859,18,1,0,0,APPROVE
PROPERTY,45900.19,0.968,0.814,1,0,0,0,APPROVE
PROPERTY,374386.26,0.754,0.587,28,0,0,2,ESCALATE
PROPERTY,245045.89,0.357,0.21,86,0,0,2,REJECT
AUTO,24006.93,0.75,0.994,17,0,0,0,APPROVE
AUTO,13632.69,0.814,0.996,12,1,0,0,APPROVE
LIFE_DEATH,758231.52,0.652,0.675,25,1,1,2,ESCALATE
AUTO,431775.17,0.264,0.437,108,0,0,4,REJECT
AUTO,174191.88,0.358,0.162,86,0,0,4,REJECT
AUTO,233476.04,0.408,0.204,52,0,0,2,REJECT
PROPERTY,402109.94,0.777,0.58,12,1,0,1,ESCALATE
PROPERTY,44075.96,0.801,0.8,1,0,0,0,APPROVE
LIFE_DEATH,204461.81,0.924,0.978,5,0,1,0,APPROVE
LIFE_DEATH,621321.48,0.509,0.55,60,0,0,5,REJECT
AUTO,47993.31,0.75,0.917,4,1,0,0,APPROVE
LIFE_DEATH,57506.5,0.789,0.926,37,1,1,1,APPROVE
LIFE_DEATH,1410552.6,0.498,0.242,44,0,1,5,REJECT
AUTO,4855.12,0.75,0.837,13,1,0,0,APPROVE
PROPERTY,289283.43,0.719,0.646,26,0,0,1,ESCALATE
LIFE_DEATH,105309.67,0.94,0.885,27,1,1,0,APPROVE
AUTO,14714.56,0.75,0.953,8,0,0,0,APPROVE
AUTO,396939.55,0.2,0.293,241,0,0,5,REJECT
PROPERTY,85834.11,0.75,0.809,7,1,0,0,APPROVE
LIFE_DEATH,230027.83,0.941,0.928,10,1,1,1,APPROVE
PROPERTY,55884.77,0.912,0.872,11,1,0,0,APPROVE
LIFE_DEATH,445766.84,0.763,0.739,33,1,1,1,ESCALATE
PROPERTY,563460.35,0.707,0.82,62,1,0,1,ESCALATE
PROPERTY,51416.15,0.803,0.938,20,1,0,0,APPROVE
AUTO,16003.43,0.826,0.9,20,1,0,0,APPROVE
AUTO,51051.0,0.759,0.619,48,1,0,3,ESCALATE
LIFE_DEATH,70347.58,0.972,0.943,1,0,1,0,APPROVE
AUTO,15410.42,0.75,0.991,12,1,0,0,APPROVE
PROPERTY,586514.29,0.2,0.348,62,0,0,5,REJECT
PROPERTY,19979.46,0.977,0.8,4,1,0,0,APPROVE
AUTO,28390.41,0.819,0.871,5,1,0,0,APPROVE
AUTO,13480.46,0.769,0.927,3,1,0,0,APPROVE
AUTO,25042.61,0.847,0.89,4,1,0,0,APPROVE
PROPERTY,119775.36,0.653,0.661,38,1,0,3,ESCALATE
AUTO,276177.0,0.442,0.15,40,0,0,5,REJECT
PROPERTY,556309.13,0.2,0.65,81,0,0,4,REJECT
PROPERTY,776539.17,0.2,0.522,47,0,0,3,REJECT
LIFE_DEATH,392318.81,0.641,0.82,23,1,1,3,ESCALATE
PROPERTY,917394.36,0.542,0.21,30,0,0,4,REJECT
LIFE_DEATH,767602.23,0.254,0.15,44,0,1,4,REJECT
AUTO,17795.12,0.75,0.984,1,1,0,1,APPROVE
AUTO,8741.5,0.951,0.996,3,0,0,0,APPROVE
LIFE_DEATH,134528.94,0.75,0.981,4,0,1,0,APPROVE
AUTO,2934.18,0.96,0.956,3,1,0,0,APPROVE
AUTO,105920.93,0.2,0.15,100,0,0,4,REJECT
PROPERTY,582656.13,0.671,0.737,26,0,0,1,ESCALATE
AUTO,395874.37,0.2,0.318,58,0,0,4,REJECT
PROPERTY,855661.63,0.2,0.56,156,0,0,3,REJECT
AUTO,36584.25,0.886,0.879,16,1,0,0,APPROVE
PROPERTY,235833.4,0.714,0.667,20,0,0,2,ESCALATE
AUTO,55245.91,0.766,0.8,10,1,0,0,APPROVE
AUTO,119212.22,0.717,0.604,39,0,0,2,ESCALATE
AUTO,13582.73,0.75,0.915,31,1,0,1,APPROVE
LIFE_DEATH,151983.84,0.841,0.916,10,0,1,1,APPROVE
PROPERTY,1150461.06,0.41,0.15,47,0,0,4,REJECT
AUTO,56801.06,0.807,0.857,19,1,0,0,APPROVE
AUTO,157789.95,0.2,0.25,206,0,0,5,REJECT
AUTO,10728.17,0.888,0.8,3,0,0,0,APPROVE
LIFE_DEATH,235119.03,0.82,0.9,6,0,1,0,APPROVE
LIFE_DEATH,104767.2,0.873,0.872,1,0,1,0,APPROVE
PROPERTY,74953.52,0.75,0.936,39,1,0,0,APPROVE
PROPERTY,85464.76,0.907,0.955,13,1,0,1,APPROVE
LIFE_DEATH,1367941.42,0.558,0.65,39,0,0,3,REJECT
AUTO,366098.56,0.2,0.346,159,0,0,5,REJECT
PROPERTY,50329.31,0.75,0.8,24,1,0,0,APPROVE
LIFE_DEATH,56452.98,0.882,0.8,2,1,1,0,APPROVE
LIFE_DEATH,121406.5,0.932,0.965,7,1,1,0,APPROVE
LIFE_DEATH,582193.26,0.839,0.691,63,1,1,1,ESCALATE
PROPERTY,117801.97,0.84,0.903,25,1,0,1,APPROVE
AUTO,44082.08,0.836,0.932,27,1,0,1,APPROVE
AUTO,6765.35,0.889,0.888,1,0,0,1,APPROVE
AUTO,52309.47,0.88,0.962,18,1,0,0,APPROVE
AUTO,23278.88,0.976,0.879,1,0,0,0,APPROVE
PROPERTY,517702.94,0.654,0.82,13,1,0,1,ESCALATE
LIFE_DEATH,194197.43,0.87,0.924,31,1,1,2,APPROVE
AUTO,36825.33,0.948,0.953,11,1,0,0,APPROVE
AUTO,42433.14,0.956,0.8,9,1,0,0,APPROVE
PROPERTY,53953.24,0.75,0.936,37,1,0,1,APPROVE
LIFE_DEATH,1290178.55,0.472,0.15,99,0,0,4,REJECT
AUTO,11416.04,0.99,0.946,2,0,0,1,APPROVE
AUTO,48594.41,0.798,0.711,33,1,0,3,ESCALATE
AUTO,18447.14,0.838,0.982,1,1,0,0,APPROVE
PROPERTY,724791.05,0.2,0.257,134,0,0,3,REJECT
AUTO,358249.28,0.645,0.362,117,0,0,4,REJECT
LIFE_DEATH,463071.5,0.728,0.637,13,0,1,3,ESCALATE
AUTO,116269.03,0.745,0.677,18,1,0,1,ESCALATE
PROPERTY,36070.25,0.981,0.926,1,1,0,0,APPROVE
LIFE_DEATH,93230.62,0.75,0.8,1,1,1,1,APPROVE
AUTO,151081.32,0.304,0.367,81,0,0,2,REJECT
LIFE_DEATH,117011.8,0.822,0.894,12,0,1,2,APPROVE
PROPERTY,26234.25,0.964,0.884,9,1,0,0,APPROVE
PROPERTY,38253.15,0.75,0.95,2,0,0,1,APPROVE
AUTO,89987.84,0.85,0.629,16,0,0,1,ESCALATE
LIFE_DEATH,166272.17,0.867,0.936,1,1,1,0,APPROVE
PROPERTY,852664.21,0.318,0.189,62,0,0,4,REJECT
AUTO,164451.93,0.68,0.15,128,0,0,3,REJECT
PROPERTY,309992.77,0.2,0.15,70,0,0,3,REJECT
AUTO,14925.02,0.942,0.967,1,0,0,0,APPROVE
AUTO,94514.79,0.283,0.15,52,0,0,6,REJECT
LIFE_DEATH,129387.43,0.949,0.857,3,1,1,0,APPROVE
AUTO,130230.75,0.825,0.733,24,0,0,1,ESCALATE
PROPERTY,132552.35,0.712,0.741,106,1,0,2,ESCALATE
LIFE_DEATH,1065659.26,0.628,0.15,52,0,0,3,REJECT
PROPERTY,67718.86,0.812,0.873,18,1,0,0,APPROVE
AUTO,13142.33,0.781,0.8,5,0,0,0,APPROVE
AUTO,21128.42,0.948,0.928,21,1,0,0,APPROVE
AUTO,29543.26,0.886,0.943,1,1,0,2,APPROVE
LIFE_DEATH,225716.61,0.953,0.946,4,1,1,0,APPROVE
AUTO,6896.02,0.839,0.8,1,1,0,0,APPROVE
PROPERTY,444690.33,0.716,0.658,16,1,0,1,ESCALATE
AUTO,333562.71,0.673,0.317,324,0,0,2,REJECT
LIFE_DEATH,121852.4,0.862,0.959,4,0,1,0,APPROVE
PROPERTY,768430.94,0.373,0.173,136,0,0,4,REJECT
LIFE_DEATH,223109.04,0.751,0.971,4,0,1,0,APPROVE
LIFE_DEATH,90697.75,0.795,0.8,8,1,1,1,APPROVE
AUTO,11956.49,0.807,0.987,23,1,0,0,APPROVE
LIFE_DEATH,97098.25,0.877,0.804,15,1,1,0,APPROVE
PROPERTY,411972.11,0.811,0.673,18,1,0,1,ESCALATE
AUTO,13589.8,0.911,0.883,1,0,0,0,APPROVE
AUTO,32281.85,0.982,0.891,6,1,0,0,APPROVE
AUTO,96378.44,0.533,0.15,33,0,0,2,REJECT
AUTO,12459.75,0.853,0.957,2,1,0,0,APPROVE
PROPERTY,56189.84,0.841,0.994,4,1,0,0,APPROVE
AUTO,58256.67,0.909,0.863,6,1,0,1,APPROVE
AUTO,256680.04,0.312,0.306,78,0,0,4,REJECT
AUTO,356453.98,0.39,0.15,70,0,0,3,REJECT
LIFE_DEATH,1103748.89,0.5,0.15,33,0,1,3,REJECT
PROPERTY,45475.55,0.75,0.891,8,1,0,0,APPROVE
PROPERTY,490927.5,0.323,0.245,60,0,0,3,REJECT
PROPERTY,79028.27,0.836,0.844,36,1,0,0,APPROVE
AUTO,17206.0,0.952,0.97,12,1,0,0,APPROVE
LIFE_DEATH,164825.92,0.927,0.952,7,1,1,0,APPROVE
PROPERTY,340357.1,0.68,0.299,60,0,0,2,REJECT
PROPERTY,297065.42,0.723,0.58,120,1,0,1,ESCALATE
LIFE_DEATH,1227889.32,0.2,0.457,252,0,0,6,REJECT
AUTO,8373.92,0.822,0.8,3,0,0,1,APPROVE
AUTO,11392.45,0.922,0.936,3,1,0,0,APPROVE
PROPERTY,671987.34,0.446,0.237,70,0,0,2,REJECT
AUTO,290444.47,0.49,0.303,116,0,0,5,REJECT
PROPERTY,52291.68,0.75,0.843,3,1,0,0,APPROVE
PROPERTY,856430.24,0.21,0.376,55,0,0,3,REJECT
LIFE_DEATH,66875.64,0.871,0.995,3,0,1,0,APPROVE
AUTO,134247.28,0.323,0.15,121,0,0,4,REJECT
PROPERTY,944710.04,0.68,0.372,111,0,0,2,REJECT
AUTO,19132.89,0.807,0.864,9,1,0,0,APPROVE
AUTO,19767.46,0.75,0.971,41,1,0,1,APPROVE
PROPERTY,59531.11,0.946,0.991,7,1,0,0,APPROVE
PROPERTY,43290.93,0.793,0.843,2,0,0,0,APPROVE
PROPERTY,73718.08,0.989,0.928,6,1,0,0,APPROVE
AUTO,6141.75,0.75,0.846,21,0,0,1,APPROVE
AUTO,28948.13,0.75,0.8,13,1,0,0,APPROVE
AUTO,34606.32,0.913,0.942,1,1,0,1,APPROVE
PROPERTY,299374.65,0.654,0.627,33,0,0,2,ESCALATE
AUTO,236858.31,0.389,0.306,106,0,0,3,REJECT
AUTO,21622.97,0.768,0.967,1,1,0,0,APPROVE
AUTO,34907.85,0.928,0.8,5,1,0,0,APPROVE
AUTO,216026.62,0.232,0.28,65,0,0,3,REJECT
AUTO,25520.29,0.893,0.959,8,1,0,1,APPROVE
AUTO,37698.69,0.806,0.964,2,1,0,0,APPROVE
LIFE_DEATH,502842.31,0.279,0.3,92,0,0,2,REJECT
AUTO,24493.35,0.926,0.994,9,0,0,0,APPROVE
AUTO,19706.77,0.85,0.826,2,1,0,0,APPROVE
AUTO,346946.36,0.68,0.152,67,0,0,5,REJECT
AUTO,259591.16,0.301,0.198,35,0,0,3,REJECT
AUTO,27968.49,0.75,0.863,8,0,0,1,APPROVE
LIFE_DEATH,177430.79,0.898,0.871,1,1,1,0,APPROVE
AUTO,62050.1,0.766,0.759,23,1,0,3,ESCALATE
LIFE_DEATH,185426.2,0.842,0.941,3,0,1,2,APPROVE
PROPERTY,715463.61,0.471,0.15,77,0,0,6,REJECT
AUTO,39216.62,0.972,0.962,19,1,0,0,APPROVE
AUTO,307505.03,0.2,0.15,43,0,0,3,REJECT
PROPERTY,173198.43,0.451,0.197,103,0,0,3,REJECT
AUTO,229054.93,0.2,0.196,47,0,0,3,REJECT
PROPERTY,36212.29,0.922,0.962,3,1,0,1,APPROVE
AUTO,20809.72,0.881,0.849,4,1,0,1,APPROVE
AUTO,53185.54,0.92,0.986,1,1,0,2,APPROVE
AUTO,49426.72,0.75,0.98,5,1,0,0,APPROVE
AUTO,132718.19,0.709,0.751,27,0,0,1,ESCALATE
LIFE_DEATH,204431.73,0.91,0.8,17,1,1,0,APPROVE
LIFE_DEATH,225182.97,0.75,0.811,10,1,1,0,APPROVE
AUTO,27023.79,0.885,0.865,5,0,0,1,APPROVE
AUTO,363666.43,0.68,0.304,86,0,0,4,REJECT
PROPERTY,63327.61,0.796,0.8,1,1,0,0,APPROVE
PROPERTY,53016.79,0.917,0.96,1,1,0,1,APPROVE
AUTO,24428.63,0.807,0.953,23,1,0,0,APPROVE
PROPERTY,576656.25,0.674,0.816,87,1,0,1,ESCALATE
PROPERTY,86325.56,0.921,0.924,10,1,0,0,APPROVE
PROPERTY,52356.08,0.75,0.896,7,1,0,0,APPROVE
AUTO,23080.13,0.75,0.937,1,1,0,2,APPROVE
AUTO,41356.89,0.99,0.981,6,1,0,1,APPROVE
PROPERTY,380566.53,0.784,0.715,19,0,0,3,ESCALATE
AUTO,243250.84,0.324,0.633,63,0,0,4,REJECT
PROPERTY,295900.39,0.777,0.75,31,1,0,1,ESCALATE
PROPERTY,114123.1,0.837,0.739,10,0,0,2,ESCALATE
AUTO,18974.07,0.877,0.995,35,0,0,0,APPROVE
PROPERTY,64123.28,0.971,0.823,11,1,0,0,APPROVE
AUTO,19465.49,0.869,0.8,1,0,0,0,APPROVE
PROPERTY,85618.51,0.904,0.8,1,1,0,1,APPROVE
AUTO,31881.92,0.929,0.942,1,1,0,0,APPROVE
AUTO,333477.73,0.351,0.151,119,0,0,2,REJECT
PROPERTY,115920.61,0.956,0.833,5,1,0,1,APPROVE
LIFE_DEATH,117660.99,0.777,0.952,5,1,1,0,APPROVE
PROPERTY,67338.87,0.934,0.8,8,1,0,0,APPROVE
AUTO,20276.17,0.947,0.975,10,1,0,1,APPROVE
PROPERTY,78499.82,0.959,0.835,15,1,0,0,APPROVE
AUTO,20406.35,0.777,0.915,13,1,0,1,APPROVE
PROPERTY,466077.39,0.271,0.289,101,0,0,6,REJECT
AUTO,29232.78,0.962,0.918,29,1,0,0,APPROVE
AUTO,45309.89,0.947,0.8,45,1,0,1,APPROVE
PROPERTY,67303.5,0.894,0.814,18,1,0,0,APPROVE
LIFE_DEATH,196688.7,0.75,0.996,24,0,1,0,APPROVE
PROPERTY,458731.23,0.446,0.15,34,0,0,5,REJECT
AUTO,26694.3,0.849,0.823,8,1,0,0,APPROVE
AUTO,15364.21,0.966,0.8,11,0,0,0,APPROVE
PROPERTY,108927.88,0.969,0.8,12,1,0,0,APPROVE
PROPERTY,55709.39,0.954,0.93,3,1,0,0,APPROVE
LIFE_DEATH,364588.3,0.729,0.811,61,1,1,2,ESCALATE
PROPERTY,79842.39,0.955,0.965,20,1,0,0,APPROVE
LIFE_DEATH,271851.87,0.75,0.997,2,0,1,0,APPROVE
PROPERTY,69079.89,0.75,0.847,2,1,0,0,APPROVE
PROPERTY,90768.24,0.804,0.972,2,1,0,0,APPROVE
PROPERTY,15373.16,0.75,0.959,18,1,0,0,APPROVE
LIFE_DEATH,111023.64,0.75,0.965,5,1,1,1,APPROVE
AUTO,24887.34,0.968,0.988,1,1,0,0,APPROVE
AUTO,338137.58,0.2,0.35,128,0,0,2,REJECT
AUTO,12664.28,0.932,0.8,13,1,0,0,APPROVE
AUTO,16318.31,0.845,0.92,4,1,0,2,APPROVE
LIFE_DEATH,362419.09,0.685,0.657,58,0,1,3,ESCALATE
AUTO,149323.29,0.769,0.725,44,1,0,1,ESCALATE
AUTO,59118.01,0.75,0.814,6,1,0,0,APPROVE
AUTO,10063.57,0.75,0.818,2,1,0,0,APPROVE
PROPERTY,459179.74,0.214,0.15,41,0,0,5,REJECT
LIFE_DEATH,1196124.62,0.2,0.22,197,0,1,3,REJECT
AUTO,77661.33,0.282,0.456,165,0,0,3,REJECT
AUTO,20202.18,0.916,0.997,18,1,0,0,APPROVE
AUTO,107840.04,0.663,0.688,13,1,0,3,ESCALATE
PROPERTY,93512.81,0.75,0.8,16,1,0,2,APPROVE
PROPERTY,58489.05,0.811,0.877,2,1,0,0,APPROVE
LIFE_DEATH,266705.63,0.716,0.791,13,1,1,1,ESCALATE
LIFE_DEATH,747506.81,0.2,0.208,30,0,0,5,REJECT
AUTO,21769.05,0.826,0.854,14,1,0,0,APPROVE
PROPERTY,68912.52,0.898,0.941,1,1,0,0,APPROVE
AUTO,47473.52,0.75,0.885,20,1,0,0,APPROVE
PROPERTY,81551.08,0.909,0.901,1,1,0,1,APPROVE
AUTO,39556.06,0.75,0.807,2,1,0,1,APPROVE
AUTO,310878.73,0.2,0.352,30,0,0,5,REJECT
PROPERTY,51663.81,0.928,0.825,1,1,0,0,APPROVE
AUTO,29360.7,0.831,0.8,21,0,0,1,APPROVE
PROPERTY,64544.06,0.75,0.888,19,1,0,0,APPROVE
AUTO,10078.72,0.843,0.8,8,1,0,1,APPROVE
AUTO,380208.51,0.218,0.295,92,0,0,2,REJECT
LIFE_DEATH,179764.95,0.894,0.888,4,0,1,0,APPROVE
PROPERTY,54702.7,0.979,0.8,6,1,0,1,APPROVE
LIFE_DEATH,652609.15,0.428,0.217,64,0,0,3,REJECT
LIFE_DEATH,480493.19,0.725,0.787,56,1,1,2,ESCALATE
AUTO,58774.85,0.75,0.972,1,1,0,0,APPROVE
PROPERTY,1166047.41,0.2,0.352,37,0,0,3,REJECT
AUTO,91395.56,0.674,0.594,72,1,0,1,ESCALATE
AUTO,11419.99,0.75,0.977,12,0,0,0,APPROVE
PROPERTY,707348.32,0.2,0.322,59,0,0,2,REJECT
PROPERTY,61472.54,0.857,0.975,11,1,0,0,APPROVE
PROPERTY,864655.12,0.389,0.15,86,0,0,5,REJECT
AUTO,146552.39,0.806,0.725,12,1,0,1,ESCALATE
AUTO,9213.03,0.894,0.922,1,1,0,0,APPROVE
LIFE_DEATH,166653.41,0.884,0.966,3,1,1,0,APPROVE
AUTO,9849.84,0.93,0.985,3,0,0,1,APPROVE
LIFE_DEATH,313744.85,0.761,0.602,12,1,1,2,ESCALATE
LIFE_DEATH,571361.35,0.298,0.15,30,0,0,3,REJECT
LIFE_DEATH,1423020.96,0.623,0.15,42,0,1,4,REJECT
PROPERTY,81433.93,0.964,0.8,9,1,0,1,APPROVE
PROPERTY,32600.49,0.926,0.89,2,1,0,0,APPROVE
AUTO,33010.58,0.75,0.959,1,1,0,2,APPROVE
LIFE_DEATH,1336399.63,0.66,0.15,30,0,0,4,REJECT
PROPERTY,21458.93,0.959,0.802,1,0,0,0,APPROVE
LIFE_DEATH,1065087.25,0.68,0.242,103,0,0,5,REJECT
LIFE_DEATH,439015.51,0.649,0.59,40,0,1,2,ESCALATE
PROPERTY,19198.56,0.916,0.918,10,1,0,0,APPROVE
AUTO,32479.78,0.844,0.947,1,1,0,0,APPROVE
LIFE_DEATH,83854.71,0.75,0.894,6,0,1,0,APPROVE
AUTO,352103.03,0.349,0.15,57,0,0,4,REJECT
AUTO,106776.59,0.785,0.669,11,0,0,1,ESCALATE
AUTO,340454.2,0.56,0.486,218,0,0,3,REJECT
AUTO,21378.68,0.75,0.851,17,1,0,0,APPROVE
PROPERTY,309346.29,0.741,0.673,27,0,0,1,ESCALATE
AUTO,32122.95,0.776,0.918,6,1,0,0,APPROVE
AUTO,41126.18,0.817,0.639,14,0,0,2,ESCALATE
AUTO,21168.23,0.81,0.913,14,0,0,0,APPROVE
PROPERTY,674435.24,0.2,0.189,58,0,0,4,REJECT
PROPERTY,599466.87,0.652,0.694,10,0,0,2,ESCALATE
LIFE_DEATH,281548.25,0.914,0.8,16,0,1,2,APPROVE
LIFE_DEATH,153379.13,0.896,0.869,14,1,1,0,APPROVE
LIFE_DEATH,510918.53,0.732,0.772,56,0,1,1,ESCALATE
AUTO,115040.65,0.434,0.155,64,0,0,5,REJECT
AUTO,10278.72,0.75,0.822,2,1,0,1,APPROVE
PROPERTY,113217.4,0.89,0.953,1,1,0,1,APPROVE
LIFE_DEATH,79437.77,0.827,0.802,10,0,1,0,APPROVE
AUTO,10501.38,0.976,0.8,1,1,0,0,APPROVE
PROPERTY,210190.48,0.2,0.498,43,0,0,5,REJECT
AUTO,20944.96,0.99,0.806,5,1,0,0,APPROVE
PROPERTY,43230.56,0.947,0.917,10,1,0,0,APPROVE
LIFE_DEATH,269399.59,0.79,0.985,6,0,1,1,APPROVE
AUTO,23777.79,0.75,0.8,1,1,0,0,APPROVE
AUTO,32956.18,0.844,0.991,11,1,0,2,APPROVE
LIFE_DEATH,128727.39,0.75,0.988,1,1,1,0,APPROVE
LIFE_DEATH,284142.55,0.884,0.898,4,1,1,0,APPROVE
LIFE_DEATH,610217.08,0.2,0.509,102,0,1,4,REJECT
LIFE_DEATH,210888.03,0.872,0.84,3,0,1,1,APPROVE
AUTO,19319.71,0.75,0.92,1,0,0,0,APPROVE
LIFE_DEATH,1318338.84,0.68,0.455,70,0,1,2,REJECT
LIFE_DEATH,533303.31,0.721,0.675,10,0,1,1,ESCALATE
AUTO,17754.9,0.941,0.8,6,1,0,0,APPROVE
AUTO,79883.39,0.741,0.65,25,0,0,1,ESCALATE
AUTO,30808.82,0.883,0.875,1,1,0,0,APPROVE
LIFE_DEATH,210418.93,0.75,0.978,11,1,1,0,APPROVE
AUTO,22555.41,0.99,0.925,1,0,0,0,APPROVE
PROPERTY,461199.62,0.776,0.712,39,0,0,1,ESCALATE
PROPERTY,121021.72,0.857,0.847,7,1,0,1,APPROVE
PROPERTY,106075.52,0.98,0.959,5,1,0,0,APPROVE
LIFE_DEATH,205793.11,0.939,0.8,14,1,1,0,APPROVE
LIFE_DEATH,154380.7,0.778,0.848,6,1,1,0,APPROVE
AUTO,20322.96,0.75,0.936,24,1,0,0,APPROVE
LIFE_DEATH,987350.2,0.2,0.325,42,0,1,5,REJECT
AUTO,15339.0,0.904,0.857,33,0,0,0,APPROVE
LIFE_DEATH,112475.43,0.914,0.929,1,1,1,0,APPROVE
AUTO,33279.9,0.98,0.917,7,1,0,0,APPROVE
LIFE_DEATH,206184.86,0.75,0.951,1,0,1,0,APPROVE
AUTO,22617.62,0.887,0.8,1,1,0,2,APPROVE
AUTO,13530.48,0.889,0.974,2,0,0,0,APPROVE
PROPERTY,72501.19,0.887,0.8,5,1,0,0,APPROVE
